Datetime,user.screen_name,id_str,text,Sentiment,Known_Pumper,Price_Region,Inflection_Point
2021-03-23 06:19:10+00:00,ronclaus301,1374244311416545281a,"RT @SUNNYLAND24: $GYST : Higher Highs &amp; Higher Lows on that daily today with the Volume uptick &amp; Accumulation uptick.

GYST is gearing up f…",1,0,1,
2021-03-23 13:29:56+00:00,vikdmon,1374352716676403204a,@FatCash7 $GYST,0,0,1,
2021-03-23 13:48:58+00:00,ToastTradesOTC,1374357505279586310a,$SDRC and $GYST are my two favorite #OTC long term positions right now. https://t.co/oTeECTiYVF,1,0,1,
2021-03-23 13:55:31+00:00,SUNNYLAND24,1374359154081423362a,RT @ToastTradesOTC: $SDRC and $GYST are my two favorite #OTC long term positions right now. https://t.co/oTeECTiYVF,1,1,1,
2021-03-23 14:05:03+00:00,ronclaus301,1374361553772843008a,RT @ToastTradesOTC: $SDRC and $GYST are my two favorite #OTC long term positions right now. https://t.co/oTeECTiYVF,1,0,1,
2021-03-23 14:36:22+00:00,pennystockzzz,1374369436413554703a,"Hemp Naturals, Inc. (OTC PINK: $HPMM) 

$IMTL $PHIL $INND $GTEH $DPLS $HITIF $FORW $CWSFF $SEGI $NSAV $MMNFF $GYST… https://t.co/4wNBWTXBbz",0,0,1,
2021-03-23 14:37:52+00:00,Charles19756831,1374369813837930503a,"RT @pennystockzzz: Hemp Naturals, Inc. (OTC PINK: $HPMM) 

$IMTL $PHIL $INND $GTEH $DPLS $HITIF $FORW $CWSFF $SEGI $NSAV $MMNFF $GYST $BANT…",0,0,1,
2021-03-23 14:37:56+00:00,GlamorousStock,1374369829172379648a,"TOP #Marijuanastocks

$CLSH

* Reports Highest February Results in Company History, Growing Retail and Wholesale Re… https://t.co/7NpVhY9P4y",1,0,1,
2021-03-23 15:20:04+00:00,StockAlert8,1374380433194950664a,$GYST update coming..Graystone Company Completes Formulation of its Nano-Delivery of the Fucoidan Longevity Booster… https://t.co/qhCwo2kTXj,0,0,1,
2021-03-23 15:27:31+00:00,StockAlert8,1374382308984115201a,RT @STAYHIGHSTOCKS: $GYST GONNA BE HUGE!!! LOAD UP NOW!,1,0,1,
2021-03-23 15:54:23+00:00,StrongBuyStock,1374389069849894918a,"TOP #Marijuanastocks

$CBDL

* Engages EVIO Labs to Provide Product Certification Testing of CBDL Products

* ENTER… https://t.co/KY5SLQa1FL",1,1,1,
2021-03-23 16:31:34+00:00,StockAlert8,1374398424783548422a,RT @StockAlert8: $GYST update coming..Graystone Company Completes Formulation of its Nano-Delivery of the Fucoidan Longevity Booster https:…,0,0,1,
2021-03-23 17:03:46+00:00,STAYHIGHSTOCKS,1374406529995079690a,$GYST LOAD UP! https://t.co/6KtKBtjNze,1,0,1,
2021-03-23 17:18:00+00:00,StockAlert8,1374410113138626563a,RT @STAYHIGHSTOCKS: $GYST LOAD UP!,1,0,1,
2021-03-23 17:30:30+00:00,StockAlert8,1374413257436405760a,$GYST has update coming..Graystone Company Completes Formulation of its Nano-Delivery of the Fucoidan Longevity Boo… https://t.co/fPAaGs36jJ,0,0,1,
2021-03-23 17:36:35+00:00,SUNNYLAND24,1374414789653397515a,"Low Volume #OTC Reds I like for adds. Take advantage of those dips imo. 👇

$CFTN.
$BYRG.
$PGVI.
$BZWR.
$GYST.
$SBUM.
$CAVR.
$TRSI. 

🌞👍",1,1,1,
2021-03-23 17:36:54+00:00,TeekTrades,1374414868149768195a,"RT @SUNNYLAND24: Low Volume #OTC Reds I like for adds. Take advantage of those dips imo. 👇

$CFTN.
$BYRG.
$PGVI.
$BZWR.
$GYST.
$SBUM.
$CAVR…",1,0,1,
